"Time","Requests","Requests/Sec","nUsers","nPages","nPagePosts","nUserPosts","nAlbums","nImageUploads"
"8","0","0.0","0","0","0","0","0","0"
"13","660","50.76923076923077","1430","0","0","0","0","0"
"18","5669","314.94444444444446","2000","0","0","0","0","0"
"23","13025","566.304347826087","2000","0","0","0","0","0"
"28","30811","1100.392857142857","2000","0","0","0","0","0"
"33","42209","1279.060606060606","2000","0","0","0","0","0"
"38","92240","2427.3684210526317","2000","0","0","0","0","0"
"43","187191","4353.279069767442","2000","0","0","0","0","0"
"48","268216","5587.833333333333","2000","0","0","0","0","0"
"53","351256","6627.471698113208","2000","0","0","0","0","0"
"58","418152","7209.517241379311","2000","0","0","0","0","0"
"63","483904","7681.015873015873","2000","0","0","0","0","0"
"68","531264","7812.705882352941","2000","0","0","8","0","0"
"73","574346","7867.753424657534","2000","17","12","573","25","116"
"78","582966","7473.923076923077","2000","27","21","973","32","200"
"83","583368","7028.530120481928","2000","27","21","973","32","200"
"88","583368","6629.181818181818","2000","27","21","973","32","200"
"93","583369","6272.784946236559","2000","28","22","1022","33","235"
"98","586052","5980.122448979592","2000","30","23","1090","36","280"
"103","586167","5690.941747572816","2000","34","27","1168","39","304"
"108","590753","5469.935185185185","2000","38","32","1298","40","354"
"108","590753","5469.935185185185","2000","45","39","1372","40","382"
"118","593613","5030.618644067797","2000","46","39","1409","40","402"
"123","595630","4842.5203252032525","2000","49","42","1483","40","434"
"128","595679","4653.7421875","2000","50","43","1544","40","458"
"133","596717","4486.5939849624065","2000","52","45","1590","40","477"
