"Time","Requests","Requests/Sec","nUsers","nPages","nPagePosts","nUserPosts","nAlbums","nImageUploads"
"8","0","0.0","0","0","0","0","0","0"
"13","0","0.0","0","0","0","0","0","0"
"18","1468","81.55555555555556","1307","0","0","0","0","0"
"23","2462","107.04347826086956","6648","0","0","0","0","0"
"28","9932","354.7142857142857","9996","0","0","0","0","0"
"33","10000","303.030303030303","9996","0","0","0","0","0"
"38","10000","263.1578947368421","9996","0","0","0","0","0"
"43","10000","232.5581395348837","9996","0","0","0","0","0"
"48","10000","208.33333333333334","9996","0","0","0","0","0"
"53","10000","188.67924528301887","9996","0","0","0","0","0"
"58","10000","172.41379310344828","9996","0","0","0","0","0"
"63","10000","158.73015873015873","9996","0","0","0","0","0"
"68","10000","147.05882352941177","9996","0","0","0","0","0"
"73","10000","136.986301369863","9996","0","0","0","0","0"
"78","10000","128.2051282051282","9996","0","0","0","0","0"
"83","10000","120.48192771084338","9996","0","0","0","0","0"
"88","10000","113.63636363636364","9996","0","0","0","0","0"
"93","10000","107.52688172043011","9996","0","0","0","0","0"
"98","10000","102.04081632653062","9996","0","0","0","0","0"
