"Time","Requests","Requests/Sec","nUsers","nPages","nPagePosts","nUserPosts","nAlbums","nImageUploads"
"9","0","0.0","0","0","0","0","0","0"
"14","0","0.0","0","0","0","0","0","0"
"19","0","0.0","0","0","0","0","0","0"
"24","783","32.625","826","0","0","0","0","0"
"29","5334","183.93103448275863","2000","1","0","27","6","0"
"34","12763","375.38235294117646","2000","1","0","33","9","0"
"39","20343","521.6153846153846","2000","1","0","33","9","0"
"44","59098","1343.1363636363637","2000","1","0","33","9","0"
"49","134768","2750.3673469387754","2000","1","0","33","9","0"
"54","193335","3580.277777777778","2000","1","0","33","9","0"
"59","265232","4495.457627118644","2000","1","0","33","9","0"
"64","329332","5145.8125","2000","1","0","33","9","0"
"69","395677","5734.449275362319","2000","1","0","33","9","0"
"74","470450","6357.4324324324325","2000","1","0","33","9","0"
"79","534911","6771.025316455696","2000","1","0","33","9","0"
"84","612296","7289.238095238095","2000","1","0","33","9","0"
"89","646295","7261.741573033708","2000","2","0","44","9","0"
"94","679064","7224.085106382979","2000","3","0","316","64","0"
"99","699563","7066.292929292929","2000","12","0","1174","215","0"
"104","718675","6910.336538461538","2000","34","0","2606","505","0"
"109","727785","6676.926605504587","2000","53","0","3985","775","0"
"114","750702","6585.105263157895","2000","76","0","5537","1094","3"
"119","761658","6400.487394957983","2000","92","0","6874","1370","6"
"124","779139","6283.379032258064","2000","117","0","9286","1809","29"
"129","792301","6141.868217054263","2000","138","0","11090","2164","36"
"129","792301","6141.868217054263","2000","146","0","11809","2325","42"
"139","798094","5741.6834532374105","2000","147","0","11984","2351","42"
"144","799424","5551.555555555556","2000","151","0","12084","2374","44"
"149","799925","5368.624161073825","2000","151","0","12168","2394","45"
"154","800896","5200.623376623376","2000","152","0","12311","2418","45"
"159","801951","5043.7169811320755","2000","155","0","12457","2442","45"
"164","802749","4894.8109756097565","2000","158","0","12558","2462","47"
"169","803255","4752.988165680474","2000","160","0","12721","2490","47"
"174","804763","4625.074712643678","2000","163","0","12850","2518","47"
"179","806194","4503.877094972067","2000","166","0","13034","2563","48"
"184","806242","4381.75","2000","166","0","13125","2581","48"
"189","807864","4274.412698412699","2000","168","0","13318","2619","49"
"194","808614","4168.113402061856","2000","170","0","13421","2635","52"
"199","809531","4067.994974874372","2000","171","0","13480","2649","53"
"204","809863","3969.9166666666665","2000","171","0","13522","2654","53"
