Time,2000 Users,5000 Users,8000 Users
8,0,4128,0
13,660,9943,0
18,5669,21399,0
23,13025,39139,820
28,30811,67544,5709
33,42209,105953,12663
38,92240,114762,22493
43,187191,114869,26659
48,268216,114869,26659
53,351256,115322,35323
58,418152,117366,36734
63,483904,117366,36734
68,531264,117366,38714
73,574346,117392,39410
78,582966,117392,40088
83,583368,118155,40101
88,583368,118580,40592
93,583369,118894,41467
98,586052,119239,41701
103,586167,119306,42092
108,590753,119531,42560
108,590753,119825,42822
118,593613,120023,42822
123,595630,120506,43649
